STUDENT ID,BATCH CODE,EXAM CODE,MODULE CODE,"ATTENDANCE(PR=Present,AB=Absent)","PUBLISH STAGE(Preliminary,Secondary,Final)",MARK,"STATUS(0=new,1=first repeat,2=special repeat)"
AG/19/OCT/00012,Demo batch,DOA201909/ENGL 101/1, HIS,PR,Preliminary,65,0
AG/19/OCT/00013,Demo batch,DOA201909/ENGL 101/1, HIS,AB,Secondary,56,2
AG/19/OCT/00014,Demo batch,DOA201909/ENGL 101/1, HIS,AB,Final,25,1
AG/19/OCT/00015,Demo batch,DOA201909/ENGL 101/1, HIS,PR,Final,70,1
AG/19/OCT/00016,Demo batch,DOA201909/ENGL 101/1, HIS,PR,Secondary,98,0
AG/19/OCT/00017,Demo batch,DOA201909/ENGL 101/1, HIS,AB,Preliminary,92,2
AG/19/OCT/00018,Demo batch,DOA201909/ENGL 101/1, HIS,PR,Final,85,2
AG/19/OCT/00019,Demo batch,DOA201909/ENGL 101/1, HIS,AB,Secondary,55,1
AG/19/OCT/00020,Demo batch,DOA201909/ENGL 101/1, HIS,PR,Final,37,0
AG/19/OCT/00021,Demo batch,DOA201909/ENGL 101/1, HIS,PR,Final,81,1
AG/19/OCT/00022,Demo batch,DOA201909/ENGL 101/1, HIS,PR,Preliminary,61,0
